EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,
5588912,GADSDEN CO.,GREENSBORO,01/16/1997,120,Tornado, ,F1,0,0,500,0,FL,EST, ,2058351,C,39,TAE,0,0, , ,0.5,75,3,W,3,W,GREENSBORO,30.57,-84.78,30.57,-84.78,24,
5587582,ESCAMBIA CO.,WALNUT HILL,01/24/1997,920,Thunderstorm Wind,50, ,0,0,1500,0,FL,CST, ,2057649,C,33,MOB,0,0, , , , , , , , ,WALNUT HILL,30.88,-87.5,30.88,-87.5,25,
5588913,WALTON CO.,DE FUNIAK SPGS,01/24/1997,2100,Thunderstorm Wind, , ,0,0,1000,0,FL,CST, ,2058352,C,131,TAE,0,0, , , , , , , , ,DE FUNIAK SPGS,30.72,-86.12,30.72,-86.12,26,
5612324,POLK CO.,LAKELAND,01/25/1997,1405,Thunderstorm Wind, , ,0,0,8000,0,FL,EST, ,2066895,C,105,TBW,0,0, , , , , , , , ,LAKELAND, , , , ,27,
5585131,PALM BEACH CO.,W. BOYTON BCH,01/25/1997,1540,Thunderstorm Wind,50, ,0,0,0,0,FL,EST, ,2057420,C,99,MFL,0,0, , , , , , , , ,W.BOYTON BCH,26.52,-80.08,26.52,-80.08,28,
5587613,ESCAMBIA CO.,ENSLEY,01/28/1997,645,Thunderstorm Wind,80, ,0,0,100000,0,FL,CST, ,2057679,C,33,MOB,0,0, , , , , , , , ,ENSLEY,30.52,-87.27,30.52,-87.27,29,
5585132,PALM BEACH CO.,CENTRAL P.B. COUNTY,01/28/1997,1706,Tornado, ,F0,0,0,0,0,FL,EST, ,2057421,C,99,MFL,0,0, , ,0.5,25, , , , ,CENTRAL P.B. COUNTY,26.67,-80.5,26.67,-80.5,30,
5612325,HILLSBOROUGH CO.,TAMPA,01/29/1997,1851,Thunderstorm Wind, , ,0,0,3000,0,FL,EST, ,2066896,C,57,TBW,0,0, , , , ,6,NW,6,NW,TAMPA,28.05,-82.53,28.05,-82.53,31,
5612406,PASCO CO.,ZEPHYRHILLS,01/29/1997,2015,Thunderstorm Wind, , ,0,0,6000,0,FL,EST, ,2066897,C,101,TBW,0,0, , , , ,7,SW,7,SW,ZEPHYRHILLS,28.17,-82.27,28.17,-82.27,32,
5612408,PASCO CO.,ZEPHYRHILLS,01/29/1997,2125,Thunderstorm Wind,52, ,0,0,40000,0,FL,EST, ,2066898,C,101,TBW,0,0, , , , ,3,N,5,NE,ZEPHYRHILLS,28.27,-82.18,28.28,-82.13,33,
5612409,PASCO CO.,ZEPHYRHILLS,01/29/1997,2125,Flood, , ,0,0,75000,0,FL,EST, ,2066899,C,101,TBW,0,0, , , , ,3,N,3,N,ZEPHYRHILLS, , , , ,34,
5590229,DUVAL CO.,JACKSONVILLE,02/08/1997,1155,Thunderstorm Wind,60, ,0,0,50,0,FL,EST, ,2059452,C,31,JAX,0,0, , , , , , , , ,JACKSONVILLE,30.35,-81.67,30.35,-81.67,35,
5590231,PUTNAM CO.,INTERLACHEN,02/13/1997,1638,Thunderstorm Wind,60, ,0,0,4000,0,FL,EST, ,1037370,C,107,JAX,0,0, , , , , , , , ,INTERLACHEN,29.62,-81.9,29.62,-81.9,36,
5590230,ST. JOHNS CO.,CRESCENT BEACH,02/13/1997,1755,Tornado, ,F0,0,0,5000,0,FL,EST, ,2059453,C,109,JAX,0,0, , ,0.2,20, , ,0,E,CRESCENT BEACH,29.77,-81.25,29.77,-81.25,37,
5589288,BROWARD CO.,30NM E HALLANDALE,03/06/1997,921,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2059345,C,11,MFL,0,0, , , , , , , , ,30NM E HALLANDALE, , , , ,38,
5589542,ESCAMBIA CO.,MOLINO,03/13/1997,1545,Thunderstorm Wind,48, ,0,0,25000,0,FL,CST, ,1037354,C,33,MOB,0,0, , , , , , , , ,MOLINO,30.72,-87.32,30.72,-87.32,39,
5611249,SARASOTA CO.,SARASOTA,03/14/1997,849,Tornado,0,F0,0,0,10000,0,FL,EST, ,2067031,C,115,TBW,0,0, , ,0.1,5,3,E,3,E,SARASOTA,27.33,-82.48,27.33,-82.48,40,
5611250,DE SOTO CO.,ARCADIA,03/16/1997,1800,Flood, , ,0,0,0,0,FL,EST, ,2067032,C,27,TBW,0,0, , , , ,16,SW,16,SW,ARCADIA, , , , ,41,
5589294,MIAMI-DADE CO.,NW 103ST & NW 7TH AV,03/24/1997,1110,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2059351,C,86,MFL,0,0, , , , , , , , ,NW 103ST & NW 7TH AV, , , , ,42,
5589295,PALM BEACH CO.,JUPITER,03/25/1997,1543,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2059352,C,99,MFL,0,0, , , , , , , , ,JUPITER, FL., , , , ,43
5589543,JACKSON CO.,MARIANNA,03/28/1997,1230,Thunderstorm Wind, , ,0,0,30000,0,FL,CST, ,2059440,C,63,TAE,0,0, , , , , , , , ,MARIANNA,30.78,-85.23,30.78,-85.23,44,
5593232,ORANGE CO.,ORLANDO,03/29/1997,1315,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2062094,C,95,MLB,0,0, , , , ,3,E,3,E,ORLANDO,28.55,-81.32,28.55,-81.32,45,
5593233,SEMINOLE CO.,OVIEDO,03/29/1997,1400,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2062094,C,117,MLB,0,0, , , , , , , , ,OVIEDO,28.67,-81.2,28.67,-81.2,46,
5593235,BREVARD CO.,CAPE KENNEDY RGNL,03/29/1997,1433,Thunderstorm Wind,58, ,0,26,100000,0,FL,EST, ,2062094,C,9,MLB,0,0, , , , , , , , ,CAPE KENNEDY RGNL,28.1,-80.63,28.1,-80.63,47,
5591855,NASSAU CO.,CALLAHAN,03/30/1997,1420,Thunderstorm Wind,60, ,0,0,500,0,FL,EST, ,2061396,C,89,JAX,0,0, , , , , , , , ,CALLAHAN,30.57,-81.82,30.57,-81.82,48,
5589296,MIAMI-DADE CO.,REDLANDS,03/30/1997,1455,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2059353,C,86,MFL,0,0, , , , , , , , ,REDLANDS, FL., , , , ,49
5591853,DUVAL CO.,MAYPORT,03/30/1997,1515,Thunderstorm Wind,60, ,0,0,20,0,FL,EST, ,2061394,C,31,JAX,0,0, , , , ,6,N,6,N,MAYPORT,30.48,-81.43,30.48,-81.43,50,
5611254,LEE CO.,FT MYERS,04/12/1997,415,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,2067034,C,71,TBW,0,0, , , , ,6,NE,6,NE,FT MYERS, , , , ,51,
5592874,GADSDEN CO.,GREENSBORO,04/12/1997,1250,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2061939,C,39,TAE,0,0, , , , ,3,W,3,W,GREENSBORO,30.57,-84.78,30.57,-84.78,52,
5616734,OKEECHOBEE CO.,OKEECHOBEE,04/13/1997,1453,Thunderstorm Wind, , ,0,0,25000,0,FL,EST, ,2069938,C,93,MLB,0,0, , , , ,10,N,10,N,OKEECHOBEE,27.4,-80.83,27.4,-80.83,53,
5600077,OKEECHOBEE CO.,OKEECHOBEE,04/13/1997,1453,Thunderstorm Wind, , ,0,0,25000,0,FL,EST, ,2062498,C,93,MLB,0,0, , , , ,10,N,10,N,OKEECHOBEE,27.4,-80.83,27.4,-80.83,54,
5591844,COLLIER CO.,PELICAN MARSH,04/14/1997,1405,Tornado, ,F0,0,0,200000,0,FL,EST, ,2061385,C,21,MFL,0,0, , ,4,100, , , , ,CORKSCREW SWAMP,26.25,-81.77,26.32,-81.57,55,
5591845,PALM BEACH CO.,NEAR PBI,04/14/1997,1450,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2061386,C,99,MFL,0,0, , , , , , , , ,NEAR PBI, , , , ,56,
5591846,COLLIER CO.,GOLDEN GATE,04/14/1997,1455,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2061387,C,21,MFL,0,0, , , , , , , , ,GOLDEN GATE, , , , ,57,
5593119,ESCAMBIA CO.,PENSACOLA,04/22/1997,2345,Thunderstorm Wind,50, ,0,0,1000,0,FL,CST, ,2062089,C,33,MOB,0,0, , , , , , , , ,PENSACOLA,30.42,-87.22,30.42,-87.22,58,
5598573,NASSAU CO.,CALLAHAN,04/23/1997,410,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,2063444,C,89,JAX,0,0, , , , , , , , ,CALLAHAN,30.57,-81.82,30.57,-81.82,59,
5599325,DUVAL CO.,ARLINGTON,04/23/1997,515,Thunderstorm Wind, , ,0,0,15000,0,FL,EST, ,2063444,C,31,JAX,0,0, , , , , , , , ,FT CAROLINE SHRS,30.33,-81.6,30.37,-81.47,60,
5592884,LAFAYETTE CO.,MAYO,04/23/1997,545,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2061945,C,67,TAE,0,0, , , , , , , , ,MAYO,30.05,-83.17,30.05,-83.17,61,
5599323,DUVAL CO.,ARLINGTON,04/23/1997,615,Thunderstorm Wind, , ,0,0,25000,0,FL,EST, ,2063444,C,31,JAX,0,0, , , , , , , , ,ARLINGTON,30.33,-81.6,30.33,-81.6,62,
5599324,DUVAL CO.,JACKSONVILLE,04/23/1997,616,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2063444,C,31,JAX,0,0, , , , , , , , ,JACKSONVILLE,30.35,-81.67,30.35,-81.67,63,
5598562,SUWANNEE CO.,LIVE OAK,04/23/1997,638,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2063440,C,121,JAX,0,0, , , , , , , , ,LIVE OAK,30.3,-82.98,30.3,-82.98,64,
5598563,CLAY CO.,LAKE GENEVA,04/23/1997,657,Thunderstorm Wind, , ,0,0,400,0,FL,EST, ,2063440,C,19,JAX,0,0, , , , , , , , ,LAKE GENEVA,29.77,-82.02,29.77,-82.02,65,
5598564,PUTNAM CO.,FLORAHOME,04/23/1997,657,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,2063441,C,107,JAX,0,0, , , , , , , , ,FLORAHOME,29.73,-81.88,29.73,-81.88,66,
5611255,LEVY CO.,CHIEFLAND,04/23/1997,710,Tornado,0,F0,0,0,20000,0,FL,EST, ,2067035,C,75,TBW,0,0, , ,1.2,5,1,NW,1,NW,CHIEFLAND,29.52,-82.9,29.52,-82.9,67,
5611256,LEVY CO.,CHIEFLAND,04/23/1997,710,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,2067036,C,75,TBW,0,0, , , , , , , , ,CEDAR KEY,29.5,-82.88,29.13,-83.03,68,
5598567,ALACHUA CO.,WALDO,04/23/1997,727,Thunderstorm Wind, , ,0,0,1000,0,FL,EST, ,2063442,C,1,JAX,0,0, , , , , , , , ,WALDO,29.78,-82.17,29.78,-82.17,69,
5598568,BRADFORD CO.,STARKE,04/23/1997,730,Thunderstorm Wind, , ,0,0,500,0,FL,EST, ,2063442,C,7,JAX,0,0, , , , , , , , ,STARKE,29.95,-82.1,29.95,-82.1,70,
5592885,DIXIE CO.,HINES,04/23/1997,730,Thunderstorm Wind, , ,0,0,1000,0,FL,EST, ,1040077,C,29,TAE,0,0, , , , , , , , ,HINES,29.73,-83.23,29.73,-83.23,71,
