EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
279672,BAY CO.,(PFN)PANAMA CITY ARPT,01/05/2011,1040,Thunderstorm Wind,50, ,0,0,0,450,FL,CST-6,EG,47945,C,5,TAE,0,0,Broadcast Media, , , ,1,W,1,W,(PFN)PANAMA CITY ARPT,30.2,-85.69,30.2,-85.69,1
280028,MONROE CO.,MARATHON SHRS,01/17/2011,1005,Thunderstorm Wind,45, ,0,0,1000,0,FL,EST-5,EG,47989,C,87,KEY,0,0,Law Enforcement, , , ,1,NNW,1,NNW,MARATHON SHRS,24.7288,-81.0348,24.7288,-81.0348,2
268226,MANATEE CO.,PALMA SOLA,01/17/2011,1020,Thunderstorm Wind,52, ,0,0,0,0,FL,EST-5,EG,46240,C,81,TBW,0,0,Trained Spotter, , , ,2,W,2,W,PALMA SOLA,27.4962,-82.6611,27.4962,-82.6611,3
268430,ORANGE CO.,(MCO)ORLANDO INTL AR,01/17/2011,1027,Thunderstorm Wind,50, ,0,0,15000,0,FL,EST-5,EG,46256,C,95,MLB,0,0,Emergency Manager, , , ,6,SE,6,SE,(MCO)ORLANDO INTL AR,28.373,-81.241,28.373,-81.241,4
268228,MANATEE CO.,PALMA SOLA,01/17/2011,1035,Thunderstorm Wind,48, ,0,0,500,0,FL,EST-5,EG,46240,C,81,TBW,0,0,NWS Employee, , , ,0,SW,0,SW,PALMA SOLA,27.4955,-82.635,27.4955,-82.635,5
268346,ORANGE CO.,CHRISTMAS,01/17/2011,1103,Tornado, ,EF0,0,0,0,0,FL,EST-5, ,46256,C,95,MLB,0,0,Other Federal Agency, ,0.05,20,10,ESE,10,ESE,CHRISTMAS,28.49,-80.865,28.49,-80.865,6
280037,MONROE CO.,STOCK IS,01/17/2011,1654,Thunderstorm Wind,45, ,0,0,500,0,FL,EST-5,EG,47992,C,87,KEY,0,0,Public, , , ,2,SW,2,SW,STOCK IS,24.5568,-81.8016,24.5568,-81.8016,7
280038,MONROE CO.,(EYW)KEY WEST INL AR,01/17/2011,1700,Thunderstorm Wind,45, ,0,0,1000,0,FL,EST-5,EG,47992,C,87,KEY,0,0,Utility Company, , , ,1,WNW,1,WNW,(EYW)KEY WEST INL AR,24.5553,-81.7841,24.5553,-81.7841,8
280584,OKALOOSA CO.,NICEVILLE,01/18/2011,2115,Thunderstorm Wind,52, ,0,0,10000,0,FL,CST-6,EG,48078,C,91,MOB,0,0,Emergency Manager, , , ,0,N,0,N,NICEVILLE,30.53,-86.5,30.53,-86.5,9
270386,FLAGLER CO.,PALM COAST,01/25/2011,0,Heavy Rain, , ,0,0,0,0,FL,EST-5, ,46613,C,35,JAX,0,0,Emergency Manager, , , ,0,N,0,N,PALM COAST,29.57,-81.21,29.57,-81.21,10
