EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
9999920,BAY CO., ,01/17/1985,515,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,5, ,0,0, , ,1,10,0, ,0, , ,30.18,-85.80, , ,1
9999921,ESCAMBIA CO., ,02/11/1985,520,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,33, ,0,0, , ,.6,10,0, ,0, , ,30.58,-87.30, , ,2
9999922,PINELLAS CO., ,03/15/1985,1008,Tornado,0,F1,0,2,2500,0,FL,CST, , ,C,103, ,0,0, , ,.3,10,0, ,0, , ,27.92,-82.80, , ,3
9999923,SARASOTA CO., ,03/17/1985,330,Tornado,0,F3,2,45,25000000,0,FL,CST, , ,C,115, ,0,0, , ,3,400,0, ,0, , ,27.08,-82.48,27.07,-82.42,4
9999924,DE SOTO CO., ,03/17/1985,430,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,27, ,0,0, , ,.5,10,0, ,0, , ,27.08,-81.97, , ,5
9999925,OKEECHOBEE CO., ,03/17/1985,849,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,93, ,0,0, , ,5,10,0, ,0, , ,27.23,-80.80,27.17,-80.73,6
9999926,BAY CO., ,03/17/1985,2130,Tornado,0,F1,0,1,250000,0,FL,CST, , ,C,5, ,0,0, , ,.5,10,0, ,0, , ,30.25,-85.93, , ,7
9999927,PASCO CO., ,04/06/1985,1050,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,101,AT,0,0, , ,0,0,0, ,0, , ,28.27,-82.72, , ,8
9999928,BREVARD CO., ,04/13/1985,420,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,9,AT,0,0, , ,0,0,0, ,0, , ,28.35,-80.73, , ,9
9999929,BROWARD CO., ,04/13/1985,1425,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,11,AT,0,0, , ,0,0,0, ,0, , ,25.87,-80.35, , ,10
9999930,ESCAMBIA CO., ,04/15/1985,1953,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,33,MT,0,0, , ,0,0,0, ,0, , ,30.97,-87.27, , ,11
9999931,PALM BEACH CO., ,04/29/1985,1400,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,99,AT,0,0, , ,0,0,0, ,0, , ,26.58,-80.05, , ,12
9999932,WALTON CO., ,05/02/1985,330,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,131, ,0,0, , ,.5,10,0, ,0, , ,30.72,-86.12, , ,13
9999020,LEON CO., ,05/02/1985,1555,Tornado,0,F0,0,0,250,0,FL,CST, , ,C,73, ,0,0, , ,.5,10,0, ,0, , ,30.58,-84.03, , ,14
9999021,SARASOTA CO., ,05/03/1985,950,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,115, ,0,0, , ,1,10,0, ,0, , ,26.98,-82.33, , ,15
9999232,DUVAL CO., ,05/03/1985,1500,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,31,AT,0,0, , ,0,0,0, ,0, , ,30.47,-81.63, , ,16
9999237,HENDRY CO., ,05/20/1985,1100,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,51,R,0,0, , ,0,0,0, ,0, , ,26.75,-81.43, , ,17
9999238,OKEECHOBEE CO., ,05/20/1985,1300,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,93,AT,0,0, , ,0,0,0, ,0, , ,27.25,-80.83, , ,18
