EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10001872,GULF CO., ,01/23/1980,130,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,45, ,0,0, , ,.3,17,0, ,0, , ,29.83,-85.30, , ,1
10001873,COLUMBIA CO., ,01/23/1980,430,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,23, ,0,0, , ,.1,10,0, ,0, , ,30.03,-82.67, , ,2
10001874,COLLIER CO., ,02/17/1980,500,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,21, ,0,0, , ,1,10,0, ,0, , ,26.08,-81.75, , ,3
10001877,PUTNAM CO., ,02/24/1980,1400,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,107, ,0,0, , ,1,10,0, ,0, , ,29.65,-81.60, , ,4
10001878,LAFAYETTE CO., ,02/25/1980,330,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,67, ,0,0, , ,.5,10,0, ,0, , ,30.05,-83.17, , ,5
10001879,MONROE CO., ,03/01/1980,1913,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,87,S,0,0, , ,0,0,0, ,0, , ,24.55,-81.75, , ,6
10001880,BROWARD CO., ,03/01/1980,2000,Tornado,0,F3,1,33,25000000,0,FL,CST, , ,C,11, ,0,0, , ,7.8,500,0, ,0, , ,26.17,-80.17,26.25,-80.08,7
10001881,BROWARD CO., ,03/01/1980,2015,Tornado,0,F1,0,0,2500000,0,FL,CST, , ,C,11, ,0,0, , ,.5,33,0, ,0, , ,26.33,-80.08, , ,8
10001883,CLAY CO., ,03/10/1980,950,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,19, ,0,0, , ,.5,33,0, ,0, , ,30.00,-81.92, , ,9
10001884,DUVAL CO., ,03/10/1980,1045,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,31, ,0,0, , ,.3,20,0, ,0, , ,30.25,-81.75, , ,10
10001885,ESCAMBIA CO., ,03/28/1980,700,Tornado,0,F1,0,1,25000,0,FL,CST, , ,C,33, ,0,0, , ,.3,20,0, ,0, , ,30.97,-87.43, , ,11
10001886,SANTA ROSA CO., ,03/28/1980,745,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,113, ,0,0, , ,3.3,33,0, ,0, , ,30.75,-87.17,30.78,-87.13,12
10001887,FRANKLIN CO., ,03/29/1980,30,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,37,T,0,0, , ,0,0,0, ,0, , ,29.73,-84.88, , ,13
10001888,FRANKLIN CO., ,03/29/1980,100,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,37,T,0,0, , ,0,0,0, ,0, , ,29.85,-84.67, , ,14
10001889,FRANKLIN CO., ,03/29/1980,300,Thunderstorm Wind,51, ,0,0,0,0,FL,CST, , ,C,37,T,0,0, , ,0,0,0, ,0, , ,29.92,-84.48, , ,15
10001891,HENDRY CO., ,04/07/1980,1215,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,51, ,0,0, , ,.3,20,0, ,0, , ,26.75,-80.93, , ,16
9998314,SARASOTA CO., ,04/07/1980,1330,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,115,ATA,0,0, , ,0,0,0, ,0, , ,27.33,-82.53, , ,17
9998315,COLLIER CO., ,04/07/1980,1630,Thunderstorm Wind,56, ,0,0,0,0,FL,CST, , ,C,21,NG,0,0, , ,0,0,0, ,0, , ,26.13,-81.80, , ,18
9998529,WASHINGTON CO., ,04/08/1980,855,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,133,REP,0,0, , ,0,0,0, ,0, , ,30.57,-87.13, , ,19
9998531,SANTA ROSA CO., ,04/13/1980,1430,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,113, ,0,0, , ,1,10,0, ,0, , ,30.63,-87.03, , ,20
9998532,HENDRY CO., ,04/19/1980,730,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,51,T,0,0, , ,0,0,0, ,0, , ,26.72,-81.37, , ,21
9998533,GLADES CO., ,04/19/1980,730,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,43,T,0,0, , ,0,0,0, ,0, , ,26.93,-81.32, , ,22
9998535,HIGHLANDS CO., ,04/19/1980,845,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,55,T,0,0, , ,0,0,0, ,0, , ,27.30,-81.20, , ,23
9998542,PALM BEACH CO., ,04/19/1980,1130,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,99,NG,0,0, , ,0,0,0, ,0, , ,26.68,-80.05, , ,24
9998543,BROWARD CO., ,04/19/1980,1207,Thunderstorm Wind,57, ,0,0,0,0,FL,CST, , ,C,11,S,0,0, , ,0,0,0, ,0, , ,26.07,-80.15, , ,25
9998544,PALM BEACH CO., ,04/19/1980,1300,Tornado,0,F0,0,0,250000,0,FL,CST, , ,C,99, ,0,0, , ,.3,20,0, ,0, , ,26.47,-80.08, , ,26
9998546,OKEECHOBEE CO., ,04/19/1980,1655,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,93, ,0,0, , ,.3,20,0, ,0, , ,27.20,-80.83, , ,27
9998547,HILLSBOROUGH CO., ,04/20/1980,1645,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,57,T,0,0, , ,0,0,0, ,0, , ,27.98,-82.38, , ,28
9998548,GULF CO., ,04/26/1980,1200,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,45,NG,0,0, , ,0,0,0, ,0, , ,29.82,-85.30, , ,29
9998550,MONROE CO., ,04/27/1980,1015,Tornado,0,F2,0,10,250000,0,FL,CST, , ,C,87, ,0,0, , ,.5,150,0, ,0, , ,24.67,-81.42, , ,30
9998552,MONROE CO., ,04/27/1980,1100,Thunderstorm Wind,68, ,0,0,0,0,FL,CST, , ,C,87,NG,0,0, , ,0,0,0, ,0, , ,24.55,-81.77, , ,31
9998553,CO., ,04/27/1980,1115,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,139,MT,0,0, , ,0,0,0, ,0, , ,30.35,-81.67, , ,32
9998554,MONROE CO., ,04/27/1980,1115,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,87,T,0,0, , ,0,0,0, ,0, , ,24.68,-81.38, , ,33
9998555,PALM BEACH CO., ,05/08/1980,1450,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,99, ,0,0, , ,.1,10,0, ,0, , ,26.80,-80.05, , ,34
9998556,LEE CO., ,05/09/1980,1415,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,71, ,0,0, , ,3,30,0, ,0, , ,26.68,-81.88, , ,35
9998557,ESCAMBIA CO., ,05/16/1980,2045,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,33, ,0,0, , ,.5,10,0, ,0, , ,30.50,-87.22, , ,36
9998558,BAY CO., ,05/17/1980,1051,Tornado,0,F1,0,6,25000,0,FL,CST, , ,C,5, ,0,0, , ,7.7,20,0, ,0, , ,30.25,-85.92,30.35,-85.87,37
9998559,MIAMI-DADE CO., ,05/24/1980,1500,Thunderstorm Wind,56, ,0,0,0,0,FL,CST, , ,C,86,T,0,0, , ,0,0,0, ,0, , ,25.80,-80.28, , ,38
9998560,COLUMBIA CO., ,05/24/1980,1500,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,23,T,0,0, , ,0,0,0, ,0, , ,25.85,-80.27, , ,39
9998561,MANATEE CO., ,05/25/1980,710,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,81, ,0,0, , ,.1,20,0, ,0, , ,27.35,-82.17, , ,40
9998562,PALM BEACH CO., ,05/25/1980,905,Thunderstorm Wind,65, ,0,0,0,0,FL,CST, , ,C,99,NG,0,0, , ,0,0,0, ,0, , ,26.68,-80.67, , ,41
9998563,MIAMI-DADE CO., ,05/25/1980,1005,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,86, ,0,0, , ,.1,30,0, ,0, , ,25.92,-80.28, , ,42
9998564,MIAMI-DADE CO., ,05/25/1980,1016,Thunderstorm Wind,54, ,0,0,0,0,FL,CST, , ,C,86,S,0,0, , ,0,0,0, ,0, , ,25.80,-80.28, , ,43
9998565,MIAMI-DADE CO., ,05/25/1980,1016,Thunderstorm Wind,65, ,0,0,0,0,FL,CST, , ,C,86,T,0,0, , ,0,0,0, ,0, , ,25.75,-80.25, , ,44
9998570,ALACHUA CO., ,05/25/1980,1400,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,1, ,0,0, , ,1,30,0, ,0, , ,29.67,-82.05, , ,45
9998571,SUWANNEE CO., ,05/25/1980,1400,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,121, ,0,0, , ,.5,30,0, ,0, , ,30.25,-83.23, , ,46
9998572,MARION CO., ,05/25/1980,1450,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,83,NG,0,0, , ,0,0,0, ,0, , ,29.35,-81.73, , ,47
9998573,MARION CO., ,05/25/1980,1450,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,83,NG,0,0, , ,0,0,0, ,0, , ,29.18,-82.13, , ,48
9998574,MARION CO., ,05/25/1980,1530,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,83, ,0,0, , ,1,30,0, ,0, , ,29.37,-81.92, , ,49
9998575,ORANGE CO., ,05/25/1980,1607,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,95,S,0,0, , ,0,0,0, ,0, , ,28.43,-81.32, , ,50
9998576,ORANGE CO., ,05/25/1980,1624,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,95,S,0,0, , ,0,0,0, ,0, , ,28.30,-81.33, , ,51
9998577,HENDRY CO., ,05/25/1980,1915,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,51, ,0,0, , ,.1,30,0, ,0, , ,26.75,-80.93, , ,52
9998578,HENDRY CO., ,05/25/1980,1915,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,51, ,0,0, , ,.1,30,0, ,0, , ,26.75,-81.43, , ,53
9998579,OSCEOLA CO., ,05/25/1980,1936,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,97,S,0,0, , ,0,0,0, ,0, , ,26.68,-80.10, , ,54
9998581,CHARLOTTE CO., ,05/26/1980,315,Tornado,0,F1,0,0,2500000,0,FL,CST, , ,C,15, ,0,0, , ,4.5,100,0, ,0, , ,26.93,-82.05,26.92,-81.98,55
9998582,LEE CO., ,05/26/1980,330,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,71, ,0,0, , ,1,50,0, ,0, , ,26.68,-81.88, , ,56
9998583,CO., ,05/26/1980,525,Thunderstorm Wind,64, ,0,0,0,0,FL,CST, , ,C,66,S,0,0, , ,0,0,0, ,0, , ,26.68,-80.05, , ,57
9998584,PALM BEACH CO., ,06/10/1980,1355,Tornado,0,F1,0,1,2500000,0,FL,CST, , ,C,99, ,0,0, , ,5.6,100,0, ,0, , ,26.63,-80.17,26.68,-80.10,58
9998585,MIAMI-DADE CO., ,06/11/1980,929,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,86, ,0,0, , ,.1,30,0, ,0, , ,25.70,-80.38, , ,59
9998586,ESCAMBIA CO., ,06/18/1980,1330,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,33, ,0,0, , ,.1,30,0, ,0, , ,30.55,-87.18, , ,60
9998587,OKALOOSA CO., ,06/19/1980,1300,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,91, ,0,0, , ,.1,30,0, ,0, , ,30.73,-86.75, , ,61
9998588,SANTA ROSA CO., ,06/21/1980,1811,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,113,NG,0,0, , ,0,0,0, ,0, , ,30.60,-87.15, , ,62
9998589,PUTNAM CO., ,06/22/1980,1100,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,107, ,0,0, , ,.5,30,0, ,0, , ,29.48,-81.67, , ,63
9998590,SEMINOLE CO., ,06/24/1980,1630,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,117, ,0,0, , ,.1,30,0, ,0, , ,28.67,-81.38, , ,64
9998591,OKALOOSA CO., ,06/24/1980,1630,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,91,ATA,0,0, , ,0,0,0, ,0, , ,30.38,-86.52, , ,65
9998592,BAY CO., ,06/25/1980,230,Tornado,0,F1,0,1,250000,0,FL,CST, , ,C,5, ,0,0, , ,.5,50,0, ,0, , ,30.17,-85.67, , ,66
9998593,ESCAMBIA CO., ,06/25/1980,920,Thunderstorm Wind,50, ,0,0,0,0,FL,CST, , ,C,33,S,0,0, , ,0,0,0, ,0, , ,30.35,-87.32, , ,67
9998594,SUWANNEE CO., ,06/25/1980,1800,Tornado,0,F1,0,0,0,0,FL,CST, , ,C,121, ,0,0, , ,.1,20,0, ,0, , ,30.17,-82.98, , ,68
9998595,SUWANNEE CO., ,06/25/1980,1810,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,121, ,0,0, , ,5.2,50,0, ,0, , ,30.12,-83.17,30.12,-83.08,69
9999441,SUWANNEE CO., ,06/25/1980,1905,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,121, ,0,0, , ,.5,20,0, ,0, , ,30.18,-82.83, , ,70
9999442,OKALOOSA CO., ,06/26/1980,610,Tornado,0,F1,0,0,25000,0,FL,CST, , ,C,91, ,0,0, , ,.1,20,0, ,0, , ,30.43,-86.62, , ,71
9999443,OKALOOSA CO., ,06/26/1980,650,Tornado,0,F0,0,0,250,0,FL,CST, , ,C,91, ,0,0, , ,.1,20,0, ,0, , ,30.38,-86.52, , ,72
9999653,DUVAL CO., ,06/28/1980,1652,Thunderstorm Wind,50, ,0,0,0,0,FL,CST, , ,C,31,NG,0,0, , ,0,0,0, ,0, , ,30.40,-81.43, , ,73
9999654,DUVAL CO., ,06/29/1980,1445,Thunderstorm Wind,56, ,0,0,0,0,FL,CST, , ,C,31,T,0,0, , ,0,0,0, ,0, , ,30.35,-81.67, , ,74
