EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10001113,LAKE CO., ,01/21/1988,945,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,69,MIA,0,0, , ,0,0,0, ,0, , ,28.80,-81.87, , ,1
10001114,LAKE CO., ,01/21/1988,950,Thunderstorm Wind,60, ,0,5,0,0,FL,CST, , ,C,69,MIA,0,0, , ,0,0,0, ,0, , ,28.92,-81.65, , ,2
10001115,VOLUSIA CO., ,01/21/1988,1015,Tornado,0,F1,0,3,250000,0,FL,CST, , ,C,127, ,0,0, , ,10,60,0, ,0, , ,29.17,-81.18,29.30,-81.05,3
10001116,GULF CO., ,02/15/1988,700,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,45,MIA,0,0, , ,0,0,0, ,0, , ,29.88,-85.22, , ,4
10001117,LAFAYETTE CO., ,02/18/1988,2200,Thunderstorm Wind,65, ,0,0,0,0,FL,CST, , ,C,67,MIA,0,0, , ,0,0,0, ,0, , ,30.05,-83.17, , ,5
10001118,JACKSON CO., ,04/18/1988,2000,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,63, ,0,0, , ,2,30,0, ,0, , ,30.93,-85.12, , ,6
10001119,JACKSON CO., ,04/18/1988,2000,Tornado,0,F2,0,0,2500000,0,FL,CST, , ,C,63, ,0,0, , ,15,300,0, ,0, , ,30.95,-85.17,31.05,-84.90,7
10001120,MADISON CO., ,04/19/1988,230,Tornado,0,F3,4,18,25000000,0,FL,EST, , ,C,79, ,0,0, , ,12,300,0, ,0, , ,30.45,-83.42,30.53,-83.20,8
10001121,GADSDEN CO., ,04/19/1988,230,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,39,MIA,0,0, , ,0,0,0, ,0, , ,30.58,-84.58, , ,9
10001962,HAMILTON CO., ,04/19/1988,245,Tornado,0,F2,0,0,250000,0,FL,EST, , ,C,47, ,0,0, , ,2,30,0, ,0, , ,30.60,-83.25, , ,10
