EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
9999946,LEE CO., ,01/04/1987,1010,Tornado,0,F0,0,0,250000,0,FL,EST, , ,C,71, ,0,0, , ,2.5,30,0, ,0, , ,26.33,-81.77, , ,1
9999947,PALM BEACH CO., ,01/04/1987,1149,Tornado,0,F0,0,1,2500,0,FL,EST, , ,C,99, ,0,0, , ,1,30,0, ,0, , ,26.68,-80.80, , ,2
9999948,MIAMI-DADE CO., ,01/04/1987,1240,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,86,MIA,0,0, , ,0,0,0, ,0, , ,25.72,-80.18, , ,3
9999949,BROWARD CO., ,01/04/1987,1345,Tornado,0,F0,0,0,250000,0,FL,EST, , ,C,11, ,0,0, , ,1,30,0, ,0, , ,26.23,-80.12, , ,4
9999950,MIAMI-DADE CO., ,01/04/1987,1400,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,86,MIA,0,0, , ,0,0,0, ,0, , ,25.92,-80.18, , ,5
9999951,HERNANDO CO., ,01/22/1987,530,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,53,MIA,0,0, , ,0,0,0, ,0, , ,28.48,-82.58, , ,6
9999952,PASCO CO., ,01/22/1987,535,Tornado,0,F0,0,0,25000,0,FL,EST, , ,C,101, ,0,0, , ,1,30,0, ,0, , ,28.25,-82.72, , ,7
9999953,PINELLAS CO., ,01/22/1987,550,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,103,MIA,0,0, , ,0,0,0, ,0, , ,27.98,-82.83, , ,8
9999954,PASCO CO., ,01/22/1987,610,Tornado,0,F0,0,0,25000,0,FL,EST, , ,C,101, ,0,0, , ,1,30,0, ,0, , ,28.37,-82.70, , ,9
9999955,MIAMI-DADE CO., ,01/22/1987,930,Thunderstorm Wind,70, ,0,0,0,0,FL,CST, , ,C,86,MIA,0,0, , ,0,0,0, ,0, , ,25.47,-80.47, , ,10
9999956,ALACHUA CO., ,02/22/1987,1620,Thunderstorm Wind,55, ,0,0,0,0,FL,CST, , ,C,1,MIA,0,0, , ,0,0,0, ,0, , ,29.78,-82.50, , ,11
9999957,MONROE CO., ,03/07/1987,300,Thunderstorm Wind,57, ,0,0,0,0,FL,CST, , ,C,87,MIA,0,0, , ,0,0,0, ,0, , ,24.55,-81.77, , ,12
9999958,ST. LUCIE CO., ,03/07/1987,800,Tornado,0,F0,0,0,2500,0,FL,EST, , ,C,111, ,0,0, , ,1,30,0, ,0, , ,27.27,-80.32, , ,13
9999959,FLAGLER CO., ,03/07/1987,1400,Tornado,0,F0,0,0,2500,0,FL,CST, , ,C,35, ,0,0, , ,1,30,0, ,0, , ,29.50,-81.15, , ,14
9999960,ESCAMBIA CO., ,03/18/1987,430,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,33,MIA,0,0, , ,0,0,0, ,0, , ,30.33,-87.13, , ,15
9999962,LAKE CO., ,03/29/1987,245,Thunderstorm Wind,75, ,0,0,0,0,FL,CST, , ,C,69,MIA,0,0, , ,0,0,0, ,0, , ,28.60,-81.67, , ,16
9999963,PASCO CO., ,03/29/1987,1030,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,101, ,0,0, , ,.5,20,0, ,0, , ,28.23,-82.18, , ,17
9999964,CITRUS CO., ,03/30/1987,300,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,17,MIA,0,0, , ,0,0,0, ,0, , ,28.90,-82.57, , ,18
9999965,MIAMI-DADE CO., ,03/31/1987,325,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,86,MIA,0,0, , ,0,0,0, ,0, , ,25.47,-80.47, , ,19
9999966,FRANKLIN CO., ,04/03/1987,830,Tornado,0,F0,0,0,2500,0,FL,EST, , ,C,37, ,0,0, , ,1,30,0, ,0, , ,29.85,-84.67, , ,20
9999967,MADISON CO., ,04/03/1987,1015,Tornado,0,F0,0,0,2500,0,FL,EST, , ,C,79, ,0,0, , ,1,30,0, ,0, , ,30.42,-83.30, , ,21
9999968,SUMTER CO., ,04/15/1987,820,Tornado,0,F2,0,0,250000,0,FL,CST, , ,C,119, ,0,0, , ,12,250,0, ,0, , ,28.65,-82.05,28.78,-81.88,22
9999969,HERNANDO CO., ,04/15/1987,845,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,53,MIA,0,0, , ,0,0,0, ,0, , ,28.55,-82.38, , ,23
9999970,LAKE CO., ,04/15/1987,915,Tornado,0,F2,1,7,2500000,0,FL,EST, , ,C,69, ,0,0, , ,3,100,0, ,0, , ,28.80,-81.63,28.83,-81.60,24
9999971,BROWARD CO., ,04/15/1987,1130,Thunderstorm Wind,60, ,0,2,0,0,FL,CST, , ,C,11,MIA,0,0, , ,0,0,0, ,0, , ,26.13,-80.50, , ,25
9999972,MIAMI-DADE CO., ,04/15/1987,1200,Thunderstorm Wind,60, ,0,0,0,0,FL,CST, , ,C,86,MIA,0,0, , ,0,0,0, ,0, , ,25.93,-80.27, , ,26
9999973,MARTIN CO., ,04/15/1987,1510,Thunderstorm Wind,75, ,0,0,0,0,FL,CST, , ,C,85,MIA,0,0, , ,0,0,0, ,0, , ,27.25,-80.23, , ,27
