EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
5536200,BREVARD CO.,MELBOURNE,01/01/1996,1225,Tornado, ,F0,0,0,40000,0,FL,EST, ,2404252,C,9,MLB,0,0, , ,.5,35, , , , ,MELBOURNE,28.08,-80.60,28.08,-80.60,1
5575174,PINELLAS CO.,ST. PETERSBURG,01/01/1996,2300,Flood, , ,0,0,0,0,FL,EST, ,2049202,C,103,TBW,0,0, , , , , , , , ,ST. PETERSBURG, , , , ,2
5575175,POLK CO.,WINTER HAVEN,01/02/1996,210,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,2049203,C,105,TBW,0,0, , , , , , , , ,WINTER HAVEN,28.02,-81.72,28.02,-81.72,3
5538448,CLAY CO.,ORANGE PARK,01/02/1996,1130,Thunderstorm Wind,55, ,0,0,1500,0,FL,EST, ,2404203,C,19,JAX,0,0, , , , , , , , ,CAMP BLNDG,30.17,-81.70,29.95,-81.98,4
5538449,CLAY CO.,MIDDLEBURG,01/02/1996,1230,Thunderstorm Wind,55, ,0,0,2000,0,FL,EST, ,2404204,C,19,JAX,0,0, , , , , , , , ,CAMP BLNDG,30.07,-81.87,29.95,-81.98,5
5538451,ST. JOHNS CO.,SAMPSON,01/02/1996,1400,Thunderstorm Wind,55, ,0,0,1500,0,FL,EST, ,2404206,C,109,JAX,0,0, , , , ,2,N,8,SE,HASTINGS,30.05,-81.40,29.63,-81.42,6
5538452,FLAGLER CO.,PALM COAST,01/02/1996,1415,Thunderstorm Wind,55, ,0,0,3500,0,FL,EST, ,2404207,C,35,JAX,0,0, , , , ,10,NW,12,S,BUNNELL,29.68,-81.33,29.30,-81.27,7
5575176,SUMTER CO.,LAKE PANASOFFKEE,01/02/1996,1845,Thunderstorm Wind, , ,0,0,2000,0,FL,EST, ,2049204,C,119,TBW,0,0, , , , , , , , ,LAKE PANASOFFKEE,28.83,-82.15,28.83,-82.15,8
5536201,BREVARD CO.,MELBOURNE,01/02/1996,2223,Thunderstorm Wind,45, ,0,0,0,0,FL,EST, ,2402863,C,9,MLB,0,0, , , , , , , , ,MELBOURNE,28.08,-80.60,28.08,-80.60,9
5536210,MIAMI-DADE CO.,(MIA)MIAMI INTL,01/03/1996,807,Tornado, ,F1,0,9,1200000,0,FL,EST, ,2404254,C,86,MFL,0,0, , ,7,40,12,SW,5,SW,(MIA)MIAMI INTL,25.68,-80.42,25.75,-80.33,10
5536211,BROWARD CO.,(FLL)FT LAUDRDL INTL,01/03/1996,840,Tornado, ,F0,0,0,100000,0,FL,EST, ,2404255,C,11,MFL,0,0, , ,.4,10,7,SW,7,SW,(FLL)FT LAUDRDL INTL,26.00,-80.23,26.00,-80.22,11
