EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10000249,OKALOOSA CO., ,01/12/1992,2230,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,91,PNS,0,0, , ,0,0,0, ,0, , ,30.75,-86.60, , ,1
10000250,GADSDEN CO., ,01/13/1992,105,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,39,TLH,0,0, , ,0,0,0, ,0, , ,30.62,-84.75, , ,2
10000251,ESCAMBIA CO., ,01/21/1992,2330,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,33,PNS,0,0, , ,0,0,0, ,0, , ,30.32,-87.33, , ,3
10000252,ESCAMBIA CO., ,01/23/1992,10,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,33,PNS,0,0, , ,0,0,0, ,0, , ,30.42,-87.32, , ,4
10000253,WASHINGTON CO., ,01/23/1992,110,Tornado,0,F0,0,0,250000,0,FL,EST, , ,C,133, ,0,0, , ,.7,20,0, ,0, , ,30.78,-85.53, , ,5
10000254,LEON CO., ,01/23/1992,220,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,73,TLH,0,0, , ,0,0,0, ,0, , ,30.47,-84.25, , ,6
10000255,JACKSON CO., ,01/23/1992,226,Tornado,0,F0,0,0,2500,0,FL,EST, , ,C,63, ,0,0, , ,.3,13,0, ,0, , ,30.82,-85.08, , ,7
10000256,PINELLAS CO., ,02/05/1992,310,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,103, ,0,0, , ,.2,10,0, ,0, , ,27.77,-82.77, , ,8
10000257,MANATEE CO., ,02/05/1992,315,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,81,TBW,0,0, , ,0,0,0, ,0, , ,27.53,-82.73, , ,9
10000258,PINELLAS CO., ,02/05/1992,325,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,103,TBW,0,0, , ,0,0,0, ,0, , ,28.08,-82.77, , ,10
10000259,LEVY CO., ,02/05/1992,330,Thunderstorm Wind,52, ,0,0,0,0,FL,PST, , ,C,75,TBW,0,0, , ,0,0,0, ,0, , ,29.13,-83.03, , ,11
10000260,PASCO CO., ,02/05/1992,335,Thunderstorm Wind,0, ,0,0,0,0,FL,PST, , ,C,101,TBW,0,0, , ,0,0,0, ,0, , ,28.02,-82.72, , ,12
