aEVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10317700,COLLIER CO.,East Naples,02/04/1995,815,Tornado,0, ,0,0,300000,0,FL,EST, , ,C,21, ,0,0, , ,.1,10,0, ,31,S,FMY, , , , ,30
10314268,COLLIER CO.,SW Collier,02/04/1995,830,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,21, ,0,0, , ,0,0,0, ,45,SSE,FMY, , , , ,31
10319705,PALM BEACH CO.,East Part,02/04/1995,1000,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,99, ,0,0, , ,0,0,0, ,0, , , , , , ,32
10319133,ST. JOHNS CO.,Palm Coast,02/12/1995,405,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,109, ,0,0, , ,0,0,0, ,26,N,DAB, , , , ,33
10317742,MIAMI-DADE CO.,Miami,02/13/1995,1449,Thunderstorm Wind,86, ,0,0,5000000,0,FL,EST, , ,C,86, ,0,0, , ,0,0,0, ,0, , , , , , ,34
10320139,GULF CO.,Wewahitchka,02/17/1995,1630,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,45, ,0,0, , ,2,30,0, ,19,E,PAM,30.15,-85.23, , ,35
10318459,PUTNAM CO.,Lake George,02/17/1995,1920,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,30,WNW,DAB, , , , ,36
10317701,COLLIER CO.,Naples,02/20/1995,1310,Thunderstorm Wind,55, ,0,0,100000,0,FL,EST, , ,C,21, ,0,0, , ,0,0,0, ,20,S,FMY, , , , ,37
10318044,BROWARD CO.,Pembroke Pines,02/20/1995,1500,Thunderstorm Wind,52, ,0,0,0,0,FL,EST, , ,C,11, ,0,0, , ,0,0,0, ,1,SW,FLL, , , , ,38
10319924,MARTIN CO.,Port Salerno,02/20/1995,1600,Thunderstorm Wind,40, ,1,0,0,0,FL,EST, , ,C,85, ,0,0, , ,0,0,0, ,32,N,PBI, , , , ,39
10317665,CITRUS CO.,Crystal River,03/08/1995,630,Thunderstorm Wind,0, ,0,0,4000,0,FL,EST, , ,C,17, ,0,0, , ,0,0,0, ,0, , , , , , ,40
10318045,BROWARD CO.,Gilchrist,03/08/1995,640,Tornado,0,F0,0,0,2500,0,FL,EST, , ,C,11, ,0,0, , ,.25,30,0, ,28,W,GNV, , , , ,41
10319778,PINELLAS CO.,North and Central Par,03/08/1995,650,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,103, ,0,0, , ,0,0,0, ,0, , , , , , ,42
10319730,PASCO CO.,Dade City,03/08/1995,710,Tornado,0,F0,0,0,120000,0,FL,EST, , ,C,101, ,0,0, , ,4,25,0, ,30,NE,TPA, , , , ,43
10320226,MARION CO.,Martin,03/08/1995,745,Tornado,0,F0,0,0,0,0,FL,EST, , ,C,83, ,0,0, , ,.1,10,0, ,23,S,GNV, , , , ,44
10319667,ORANGE CO.,Apopka,03/08/1995,845,Thunderstorm Wind,0, ,0,0,10000,0,FL,EST, , ,C,95, ,0,0, , ,0,0,4,N,38,SW,DAB, , , , ,45
10317799,DUVAL CO.,Jacksonville,03/08/1995,940,Thunderstorm Wind,0, ,0,0,1000,0,FL,EST, , ,C,31, ,0,0, , ,0,0,0, ,0, , , , , , ,46
10317919,BREVARD CO.,MLB,03/08/1995,1020,Thunderstorm Wind,0, ,0,0,5000,0,FL,EST, , ,C,9, ,0,0, , ,0,0,23,N,0, , , , , , ,47
10318046,BROWARD CO.,Weston,03/08/1995,1400,Thunderstorm Wind,70, ,0,0,80000,0,FL,EST, , ,C,11, ,0,0, , ,0,0,0, ,15,W,FLL, , , , ,48
10317702,COLLIER CO.,Pelican Bay,03/18/1995,435,Thunderstorm Wind,45, ,0,0,0,0,FL,EST, , ,C,21, ,0,0, , ,0,0,0, ,5,S,FMY, , , , ,49
10319732,PASCO CO.,Hudson,03/31/1995,1850,Thunderstorm Wind,0, ,0,0,3000,0,FL,EST, , ,C,101, ,0,0, , ,0,0,0, ,25,NW,TPA, , , , ,50
10319964,HILLSBOROUGH CO.,Carrollwood,03/31/1995,1900,Thunderstorm Wind,0, ,0,0,15000,0,FL,EST, , ,C,57, ,0,0, , ,0,0,0, ,5,NE,TPA, , , , ,51
10319641,OKEECHOBEE CO.,Ft. Drum,04/05/1995,2303,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,93, ,0,0, , ,0,0,1,N,0, , , , , , ,52
10320064,INDIAN RIVER CO.,Wabasso,04/05/1995,2340,Thunderstorm Wind,0, ,0,0,25000,0,FL,EST, , ,C,61, ,0,0, , ,0,0,0, ,6,N,VRB, , , , ,53
10318376,LEE CO.,Ionia,04/06/1995,59,Thunderstorm Wind,45, ,0,0,0,0,FL,EST, , ,C,71, ,0,0, , ,0,0,0, ,13,W,FMY, , , , ,54
10318377,LEE CO.,FMY,04/06/1995,130,Thunderstorm Wind,45, ,0,0,5000,0,FL,EST, , ,C,71, ,0,0, , ,0,0,11,SW,0, , , , , , ,55
10317703,COLLIER CO.,N Naples,04/06/1995,1105,Thunderstorm Wind,0, ,0,0,20000,0,FL,EST, , ,C,21, ,0,0, , ,0,0,0, ,20,S,FMY, , , , ,56
10318048,BROWARD CO.,Dania,04/06/1995,1230,Thunderstorm Wind,0, ,0,0,1000,0,FL,EST, , ,C,11, ,0,0, , ,0,0,0, ,3,SW,FLL, , , , ,57
10319670,ORANGE CO.,Orlando,04/06/1995,1736,Thunderstorm Wind,0, ,0,0,2500000,0,FL,EST, , ,C,95, ,0,0, , ,0,0,0, ,0, , , , , , ,58
10320054,MONROE CO.,Tavernier,04/08/1995,100,Tornado,0, ,0,0,50000,0,FL,EST, , ,C,87, ,0,0, , ,0,0,0, ,40,ENE,MTH, , , , ,59
10317754,MIAMI-DADE CO.,S Dade,04/08/1995,1300,Tornado,0,F0,0,0,1000,0,FL,EST, , ,C,86, ,0,0, , ,.1,10,0, ,14,S,MIA, , , , ,60
10318093,ALACHUA CO.,Waldo,04/08/1995,1934,Tornado,0,F0,0,0,1000,0,FL,EST, , ,C,1, ,0,0, , ,2,10,0, ,8,NE,GNV,29.78,-82.17, , ,61
10319452,WAKULLA CO.,Medart,04/11/1995,1725,Thunderstorm Wind,0, ,0,1,3000,0,FL,EST, , ,C,129, ,0,0, , ,0,0,0, ,22,SW,TLH, , , , ,62
10319294,TAYLOR CO.,Dekle Beach,04/11/1995,1832,Thunderstorm Wind,0, ,0,1,3000,0,FL,EST, , ,C,123, ,0,0, , ,0,0,0, ,34,NW,CTY, , , , ,63
10320111,LAFAYETTE CO.,Mayo,04/11/1995,1934,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,67, ,0,0, , ,0,0,0, ,29,N,CTY, , , , ,64
10320112,LAFAYETTE CO.,Gilchrist,04/11/1995,1940,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,67, ,0,0, , ,0,0,0, ,18,ENE,CTY, , , , ,65
10319285,SUWANNEE CO.,Live Oak,04/11/1995,2019,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,121, ,0,0, , ,0,0,3,W,32,SSE,VLD, , , , ,66
10317712,COLUMBIA CO.,Live Oak,04/11/1995,2045,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,23, ,0,0, , ,0,0,6,S,38,SSE,VLD, , , , ,67
