EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10001938,LEVY CO., ,01/14/1982,130,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,75,RY,0,0, , ,0,0,0, ,0, , ,29.50,-82.88, , ,1
10001939,CITRUS CO., ,01/14/1982,230,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,17,RY,0,0, , ,0,0,0, ,0, , ,28.78,-82.62, , ,2
10001940,HERNANDO CO., ,01/14/1982,400,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,53,RY,0,0, , ,0,0,0, ,0, , ,28.55,-82.38, , ,3
10001941,PASCO CO., ,01/14/1982,430,Thunderstorm Wind,61, ,0,0,0,0,FL,CST, , ,C,101,RY,0,0, , ,0,0,0, ,0, , ,28.37,-82.18, , ,4
10001942,PINELLAS CO., ,01/14/1982,500,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,103,RY,0,0, , ,0,0,0, ,0, , ,27.82,-82.82, , ,5
10001943,HILLSBOROUGH CO., ,01/14/1982,515,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,57,RY,0,0, , ,0,0,0, ,0, , ,27.98,-82.47, , ,6
10001944,MANATEE CO., ,01/14/1982,615,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,81,RY,0,0, , ,0,0,0, ,0, , ,27.48,-82.57, , ,7
10001945,POLK CO., ,01/14/1982,630,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,105,RY,0,0, , ,0,0,0, ,0, , ,27.88,-81.83, , ,8
10001946,SARASOTA CO., ,01/14/1982,645,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,115,RY,0,0, , ,0,0,0, ,0, , ,27.33,-82.53, , ,9
10001947,DE SOTO CO., ,01/14/1982,700,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,27,RY,0,0, , ,0,0,0, ,0, , ,27.22,-81.87, , ,10
