EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,,,
5385412,ESCAMBIA CO.,BELLEVIEW,02/06/2004,750,Thunderstorm Wind,50, ,0,0,30000,0,FL,CST,EG,1166144,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,BELLEVIEW,30.47,-87.3,30.47,-87.3,1,,,
5385914,HOLMES CO.,BONIFAY,02/06/2004,1217,Thunderstorm Wind,50, ,0,0,10000,0,FL,EST,EG,1166395,C,59,TAE,0,0,LAW ENFORCEMENT, , , ,6,NE,6,NE,BONIFAY,30.87,-85.6,30.87,-85.6,2,,,
5382778,CITRUS CO.,CRYSTAL RIVER,02/23/2004,2345,Thunderstorm Wind,61, ,0,2,300000,0,FL,EST,EG,1165936,C,17,TBW,0,0,EMERGENCY MANAGER, , , ,7,N,9,NNE,CRYSTAL RIVER,29,-82.57,29.02,-82.52,3,,,
5385917,WAKULLA CO.,SOUTHWEST PORTION,02/24/2004,815,Thunderstorm Wind,50, ,0,0,100000,0,FL,EST,EG,1166398,C,129,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHWEST PORTION,30.1,-84.48,30.1,-84.48,4,,,
5382782,LEVY CO.,INGLIS,02/24/2004,1200,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,75,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,INGLIS, , , , ,5,,,
5382779,CITRUS CO.,CHASSAHOWITZKA,02/24/2004,1200,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,17,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,CHASSAHOWITZKA, , , , ,6,,,
5385891,BREVARD CO.,TITUSVILLE,02/24/2004,1240,Thunderstorm Wind,51, ,0,0,0,0,FL,EST,MG,1166185,C,9,MLB,0,0,OFFICIAL NWS OBS., , , , , , , ,TITUSVILLE,28.6,-80.8,28.6,-80.8,7,,,
5382776,HILLSBOROUGH CO.,(TPA)TAMPA INTL ARPT,02/24/2004,1300,Thunderstorm Wind,52, ,0,0,40000,0,FL,EST,EG,1165934,C,57,TBW,0,0,EMERGENCY MANAGER, , , ,4,N,2,NE,(TPA)TAMPA INTL ARPT,28.03,-82.53,28,-82.5,8,,,
5382775,HILLSBOROUGH CO.,BRANDON,02/24/2004,1310,Thunderstorm Wind,39, ,0,0,15000,5000,FL,EST,EG,1165933,C,57,TBW,0,0,NWS STORM SURVEY, , , ,5,W,5,W,BRANDON,27.93,-82.37,27.93,-82.37,9,,,
5382774,POLK CO.,AUBURNDALE,02/24/2004,1345,Tornado, ,F0,0,0,10000,0,FL,EST, ,1165932,C,105,TBW,0,0,EMERGENCY MANAGER, ,0.3,30,2,WSW,2,WSW,AUBURNDALE,28.05,-814.13,28.05,-814.13,10,,,
5382982,POLK CO.,FT MEADE,02/24/2004,1400,Thunderstorm Wind,40, ,0,0,10000,0,FL,EST,EG,1165938,C,105,TBW,0,0,NEWSPAPER, , , , , , , ,FT MEADE,27.75,-81.8,27.75,-81.8,11,,,
5382780,HERNANDO CO.,BRKSVIL HERNNDO CO F,02/25/2004,500,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,53,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,BRKSVIL HERNNDO CO F, , , , ,12,,,
5382981,SUMTER CO.,BUSHNELL,02/25/2004,600,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,119,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,BUSHNELL, , , , ,13,,,
5382783,PASCO CO.,GOWERS CORNER,02/25/2004,800,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,101,TBW,0,0,OFFICIAL NWS OBS., , , ,2,NW,2,NW,GOWERS CORNER, , , , ,14,,,
5382863,PINELLAS CO.,ST PETE CLEARWATER I,02/25/2004,900,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,103,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,ST PETE CLEARWATER I, , , , ,15,,,
5382781,HILLSBOROUGH CO.,THONOTOSASSA,02/25/2004,1000,Heavy Rain, , ,0,0,0,0,FL,EST, ,1165937,C,57,TBW,0,0,OFFICIAL NWS OBS., , , , , , , ,THONOTOSASSA, , , , ,16,,,
5384887,HERNANDO (ZONE), ,03/10/2004,45,Strong Wind,40, ,0,0,5000,0,FL,EST,EG,1166121,Z,48,TBW,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,17,,,
5384886,PASCO (ZONE), ,03/10/2004,45,Strong Wind,43, ,0,0,25000,0,FL,EST,EG,1166121,Z,49,TBW,0,0,NEWSPAPER, , , , , , , , , , , , ,18,,,
5386532,FLAGLER CO.,CODYS CORNER,03/16/2004,230,Thunderstorm Wind,40, ,0,0,1000,0,FL,EST,EG,1165992,C,35,JAX,0,0,EMERGENCY MANAGER, , , , , , , ,CODYS CORNER,29.33,-81.32,29.33,-81.32,19,,,
5387646,MARTIN CO.,HOBE SOUND,03/16/2004,1515,Tornado, ,F0,0,0,20000,0,FL,EST, ,1166924,C,85,MLB,0,0,EMERGENCY MANAGER, ,0.2,30,6,SW,6,SW,HOBE SOUND,27,-80.2,27,-80.2,20,,,
5387647,MARTIN CO.,HOBE SOUND,03/16/2004,1528,Tornado, ,F0,0,0,10000,0,FL,EST, ,1166924,C,85,MLB,0,0,EMERGENCY MANAGER, ,0.1,30,1,W,1,W,HOBE SOUND,27.07,-80.15,27.07,-80.15,21,,,
5387129,CLAY CO.,GREEN COVE SPGS,04/08/2004,1020,Thunderstorm Wind,60, ,0,0,0,0,FL,EST,EG,1166724,C,19,JAX,0,0,LAW ENFORCEMENT, , , , , , , ,GREEN COVE SPGS,30,-81.68,30,-81.68,22,,,
5387126,ST. JOHNS CO.,VILANO BEACH,04/08/2004,1030,Thunderstorm Wind,60, ,0,0,0,0,FL,EST,EG,1166721,C,109,JAX,0,0,GENERAL PUBLIC, , , , , , , ,VILANO BEACH,29.92,-81.3,29.92,-81.3,23,,,
5393491,VOLUSIA CO.,DE LEON SPGS,04/08/2004,1200,Thunderstorm Wind,70, ,0,0,70000,0,FL,EST,EG,1168737,C,127,MLB,0,0,NWS STORM SURVEY, , , ,6,E,6,E,DE LEON SPGS,29.12,-811.08,29.12,-811.08,24,,,
5393492,VOLUSIA CO.,OSTEEN,04/08/2004,1205,Thunderstorm Wind,70, ,0,0,150000,0,FL,EST,EG,1168737,C,127,MLB,0,0,NWS STORM SURVEY, , , ,5,SW,5,SW,OSTEEN,28.8,-81.22,28.8,-81.22,25,,,
5393494,VOLUSIA CO.,OSTEEN,04/08/2004,1250,Thunderstorm Wind,60, ,0,0,70000,0,FL,EST,EG,1168737,C,127,MLB,0,0,GENERAL PUBLIC, , , , , , , ,OSTEEN,28.85,-81.15,28.85,-81.15,26,,,
5393495,ORANGE CO.,ORLANDO INTL ARPT,04/08/2004,1350,Thunderstorm Wind,50, ,0,0,10000,0,FL,EST,EG,1168737,C,95,MLB,0,0,TRAINED SPOTTER, , , ,3,N,3,N,ORLANDO INTL ARPT,28.48,-81.32,28.48,-81.32,27,,,
5393497,BREVARD CO.,PATRICK AFB,04/08/2004,1451,Thunderstorm Wind,51, ,0,0,0,0,FL,EST,MG,1168737,C,9,MLB,0,0,OFFICIAL NWS OBS., , , , , , , ,PATRICK AFB,28.23,-80.6,28.23,-80.6,28,,,
5382080,GLADES CO.,PALMDALE,04/11/2004,1753,Thunderstorm Wind,63, ,0,0,0,0,FL,EST,MG,1164646,C,43,MFL,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,PALMDALE,26.93,-81.32,26.93,-81.32,29
5393927,MANATEE CO.,BRADENTON,04/12/2004,443,Thunderstorm Wind,58, ,0,0,0,0,FL,EST,MG,1168758,C,81,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , ,7,SSE,7,SSE,BRADENTON,27.4,-82.52,27.4,-82.52,30
5393926,SARASOTA CO.,SARASOTA ARPT,04/12/2004,443,Thunderstorm Wind,58, ,0,0,0,0,FL,EST,MG,1168758,C,115,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,SARASOTA ARPT,27.4,-82.55,27.4,-82.55,31
5393925,LEE CO.,BOCA GRANDE,04/12/2004,524,Thunderstorm Wind,55, ,0,0,25000,0,FL,EST,EG,1168758,C,71,TBW,0,0,LAW ENFORCEMENT, , , , , , , ,CAPE CORAL,26.75,-82.27,26.6,-81.97,32,,,
5383812,COLLIER CO.,GOLDEN GATE,04/12/2004,545,Tornado, ,F1,0,0,100000,0,FL,EST, ,1165899,C,21,MFL,0,0,EMERGENCY MANAGER, ,2,50, , , , ,GOLDEN GATE,26.17,-81.67,26.17,-81.67,33,,,
5383811,COLLIER CO.,GOLDEN GATE,04/12/2004,602,Thunderstorm Wind,55, ,0,0,10000,0,FL,EST,EG,1165898,C,21,MFL,0,0,TRAINED SPOTTER, , , , , , , ,GOLDEN GATE,26.17,-81.67,26.17,-81.67,34,,,
5393928,CHARLOTTE CO.,ENGLEWOOD,04/12/2004,605,Tornado, ,F0,0,0,30000,0,FL,EST, ,1168758,C,15,TBW,0,0,EMERGENCY MANAGER, ,0.3,20,1,S,1,S,ENGLEWOOD,26.97,-82.33,26.97,-82.33,35,,,
5383813,PALM BEACH CO.,NORTH PALM BEACH,04/12/2004,730,Thunderstorm Wind,55, ,0,0,5000,0,FL,EST,EG,1165900,C,99,MFL,0,0,BROADCAST MEDIA, , , , , , , ,NORTH PALM BEACH,26.83,-80.05,26.83,-80.05,36,,,
5393931,CHARLOTTE (ZONE), ,04/12/2004,1045,Strong Wind,41, ,0,0,20000,0,FL,EST,MG,1168761,Z,62,TBW,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,37,,,
5394017,MANATEE (ZONE), ,04/12/2004,1129,Strong Wind,49, ,0,0,10000,0,FL,EST,MG,1168761,Z,55,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,38
5393932,SARASOTA (ZONE), ,04/12/2004,1140,High Wind,52, ,0,0,55000,0,FL,EST,EG,1168761,Z,60,TBW,0,0,EMERGENCY MANAGER, , , , , , , , , , , , ,39,,,
5394018,PINELLAS (ZONE), ,04/12/2004,1237,Strong Wind,49, ,0,0,20000,0,FL,EST,MG,1168761,Z,50,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,40
5394019,HILLSBOROUGH (ZONE), ,04/12/2004,1318,Strong Wind,33, ,0,5,5000,0,FL,EST,MG,1168761,Z,51,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,41
5390347,JACKSON CO.,MARIANNA,04/12/2004,1925,Thunderstorm Wind,50, ,0,0,1000,0,FL,EST,EG,1167981,C,63,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,MARIANNA,30.78,-85.23,30.78,-85.23,42,,,
5390348,JACKSON CO.,MALONE,04/12/2004,1945,Thunderstorm Wind,50, ,0,0,10000,0,FL,EST,EG,1167981,C,63,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,MALONE,30.95,-85.17,30.95,-85.17,43,,,
