EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,,,
5126947,MONROE CO.,MARATHON,01/10/2000,850,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1090009,C,87,EYW,0,0,TRAINED SPOTTER, , , , , , , ,MARATHON, , , , ,1,,,
5127031,DUVAL CO.,JACKSONVILLE HGTS,01/10/2000,1145,Thunderstorm Wind, , ,0,0,35000,0,FL,EST, ,1090018,C,31,JAX,0,0,EMERGENCY MANAGER, , , ,3,NE,3,NE,JACKSONVILLE HGTS,30.28,-81.75,30.28,-81.75,2,,,
5127542,COASTAL PALM BEACH (ZONE), ,01/14/2000,800,High Wind,40, ,1,0,100000,0,FL,EST,E,2414729,Z,68,MFL,0,0,NEWSPAPER, , , , , , , , , , , , ,3,,,
5131794,LEE CO.,ESTERO,01/24/2000,329,Tornado, ,F1,0,0,500000,0,FL,EST, ,1090963,C,71,TBW,0,0,EMERGENCY MANAGER, ,2.5,75,10,E,12,E,ESTERO,26.43,-81.63,26.43,-81.6,4,,,
5126822,BAY CO.,HOLLYWOOD BEACH,01/24/2000,420,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,1090289,C,5,TAE,0,0,GENERAL PUBLIC, , , ,2,W,2,W,HOLLYWOOD BEACH,30.25,-85.98,30.25,-85.98,5,,,
5126823,BAY CO.,SOUTHPORT,01/24/2000,445,Thunderstorm Wind,60, ,0,0,1000,0,FL,EST,E,1090289,C,5,TAE,0,0,LAW ENFORCEMENT, , , ,8,N,8,N,SOUTHPORT,30.4,-85.63,30.4,-85.63,6,,,
5126825,CALHOUN CO.,ALTHA,01/24/2000,500,Thunderstorm Wind, , ,0,0,35000,0,FL,EST, ,1090289,C,13,TAE,0,0,LAW ENFORCEMENT, , , ,2,S,2,S,ALTHA,30.53,-85.13,30.53,-85.13,7,,,
5126826,CALHOUN CO.,BLOUNTSTOWN,01/24/2000,510,Thunderstorm Wind, , ,0,0,20000,0,FL,EST, ,1090289,C,13,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,BLOUNTSTOWN,30.45,-85.05,30.45,-85.05,8,,,
5126827,GADSDEN CO.,COUNTYWIDE,01/24/2000,615,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,1090289,C,39,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE,30.55,-84.55,30.55,-84.55,9,,,
5126936,LEON CO.,TALLAHASSEE,01/24/2000,630,Thunderstorm Wind, , ,0,1,250000,0,FL,EST, ,1090289,C,73,TAE,0,0,TRAINED SPOTTER, , , , , , , ,TALLAHASSEE,30.45,-84.28,30.45,-84.28,10,,,
5127035,HAMILTON CO.,JASPER,01/24/2000,745,Thunderstorm Wind, , ,0,0,2500,0,FL,EST, ,2414718,C,47,JAX,0,0,UTILITY COMPANY, , , , , , , ,JASPER,30.52,-82.95,30.52,-82.95,11,,,
5127039,COLUMBIA CO.,FT WHITE,01/24/2000,825,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,2414722,C,23,JAX,0,0,LAW ENFORCEMENT, , , , , , , ,FT WHITE,29.92,-82.72,29.92,-82.72,12,,,
